,name,year,TDP,price,G3DMark,G2DMark
68,GeForce GTX 1060,2016,120,302.2,10230,763
69,GeForce GTX 1660 Ti (Mobile),2019,50,0,10211,499
70,Radeon R9 Fury,2015,-1,443.1,10004,836
71,GeForce GTX 1650 SUPER,2019,100,159.98,9936,743
72,GeForce RTX 2060 with Max-Q Design,2020,65,0,9810,474
73,Quadro P5200 with Max-Q Design,2018,-1,0,9796,702
74,Radeon R9 390X,2016,275,0,9674,834
75,Radeon R9 Fury + Fury X,2015,275,374.1,9631,814
76,GeForce GTX 1060 3GB,2016,120,235.9,9570,720
77,GeForce GTX 970,2014,145,197.4,9541,730
78,Quadro P2200,2019,-1,414.99,9485,892
79,Radeon Pro Duo,2016,350,449,9436,824
80,Radeon Pro W5500,2020,125,399.99,9436,869
81,GeForce GTX 780 Ti,2013,250,225.1,9422,635
82,Quadro RTX 3000 with Max-Q Design,2019,60,0,9402,538
83,Radeon RX 590,2018,175,149.9,9384,795
84,Quadro P5200,2018,-1,0,9186,771
85,Quadro M5000,2015,150,648.9,9170,508
86,Quadro P4000 with Max-Q Design,2017,80,0,9083,700
87,Quadro P3200 with Max-Q Design,2018,-1,0,9012,707
88,GeForce GTX 1660 Ti with Max-Q Design,2019,60,0,8990,377
89,Radeon RX 5500 XT,2019,130,179.99,8977,796
90,GeForce GTX Titan,2013,250,310,8951,691
91,GeForce GTX TITAN Black,2014,250,433.1,8890,557
92,Radeon R9 390,2016,275,0,8804,788
93,Radeon RX 580,2017,185,169.99,8724,735
94,Radeon RX 480,2016,150,198.2,8501,743
95,Quadro K6000,2013,225,724.2,8338,706
96,Radeon R9 295X2,2014,500,499.1,8218,813
97,GeForce GTX 1060 (Mobile),2019,-1,0,8203,438
98,Radeon RX 580 2048SP,2019,-1,0,8191,692
99,Radeon R9 290 / 390,2013,275,179.3,8153,695
100,GeForce GTX 1060 with Max-Q Design,2017,80,0,8038,427
101,Radeon R9 290X / 390X,2013,290,220.1,7998,630
102,GeForce GTX 1650 Ti,2020,55,0,7970,381
103,Quadro M5500,2016,150,0,7915,698
104,Radeon RX 470,2016,120,99.9,7914,691
105,GeForce GTX 780,2013,250,129.9,7900,541
106,Radeon Pro WX 7100,2016,130,499.99,7890,758
107,GeForce GTX 1650,2019,75,139.99,7855,711
108,Radeon RX 580X,2019,185,0,7798,885
109,Radeon Pro 580,2018,-1,0,7753,943
110,FirePro W9100,2014,275,3593.1,7750,884
111,Radeon RX 5500,2019,150,0,7649,878
112,GeForce GTX TITAN Z,2014,375,919.1,7647,696
113,Tesla M6,2018,-1,0,7621,568
114,Radeon Pro 580X,2019,150,0,7540,698
115,GeForce GTX 980M,2014,100,289.9,7526,588
116,Quadro P2000,2017,75,453.8,7245,737
117,Tesla P100-PCIE-16GB,2019,-1,0,7225,572
118,GeForce GTX 1650 (Mobile),2019,50,0,6986,383
119,Radeon RX 570,2017,150,124.99,6967,626
120,Radeon Pro 5500M,2019,-1,0,6946,736
121,Tesla M60,2017,-1,1395,6923,661
122,GeForce GTX 970XM FORCE,2018,-1,0,6707,725
123,Quadro T2000,2019,-1,0,6666,426
124,Radeon RX Vega M GH,2018,-1,0,6632,865
125,Radeon HD 8990,2013,375,0,6583,722
126,Quadro M4000,2015,120,279,6540,634
127,Quadro P3000,2017,75,0,6522,484
128,GeForce GTX 1050 Ti,2016,75,139.99,6446,655
129,Quadro T1000,2019,-1,0,6385,420
130,Radeon Pro 570,2019,-1,0,6337,697
131,Radeon R9 380X,2015,190,445,6318,672
132,FirePro S7150,2016,-1,2940.2,6276,866
133,Radeon R9 280X,2016,250,0,6267,665
134,Quadro M4000M,2015,100,0,6253,732
135,FirePro W8100,2014,220,1112.1,6165,738
136,Quadro M5000M,2016,100,499.9,6134,510
137,Radeon R9 380,2016,190,89.9,6098,630
138,Quadro P3200,2018,-1,0,6084,604
139,GeForce GTX 690,2012,300,264.1,6054,536
140,Radeon Pro WX Vega M GL,2019,65,0,6049,777
141,Radeon Pro 5300M,2019,-1,0,5985,671
142,GeForce GTX 770,2013,230,109.9,5970,560
143,GRID P100-16Q,2018,-1,0,5945,757
144,GeForce GTX 960,2015,120,113.2,5943,626
145,GeForce GTX 1650 with Max-Q Design,2019,35,0,5927,293
146,GeForce GTX 1050 Ti (Mobile),2019,-1,0,5919,332
147,Radeon Pro Vega 20,2018,-1,0,5838,568
148,GeForce GTX 1050,2016,75,159.99,5719,535
149,Quadro K5200,2014,150,809.46,5688,555
150,GeForce GTX 1050 Ti with Max-Q Design,2018,-1,0,5687,355
151,Radeon HD 7990,2013,375,990.4,5566,766
152,Quadro P2000 with Max-Q Design,2018,-1,0,5557,636
153,Radeon R9 285 / 380,2015,190,449.9,5550,655
154,GRID M60-8A,2019,-1,0,5523,380
155,FirePro W7100,2015,150,289.9,5511,669
156,GeForce GTX 680,2012,195,179.9,5503,488
157,Radeon RX 5500M,2020,85,0,5492,444
158,GeForce GTX 970M,2014,75,209.9,5467,358
159,GeForce GTX 760 Ti OEM,2019,-1,0,5427,694
160,GeForce GTX 1650 Ti with Max-Q Design,2020,-1,0,5336,253
161,FirePro W9000,2012,274,3443.9,5305,647
162,Radeon R9 280,2016,250,0,5303,557
163,GRID M60-2Q,2017,-1,0,5291,600
164,GeForce GTX 950,2015,90,86,5249,571
165,Radeon HD 7970 / R9 280X,2012,250,125.9,5248,730
166,FirePro S10000,2015,-1,0,5235,525
167,Quadro M3000M,2015,75,159.9,5222,556
168,GeForce GTX 670,2012,170,149,5211,453
169,Radeon Pro WX 5100,2016,75,355.99,5178,775
170,Q12U-1,2016,-1,0,5164,600
171,Radeon R9 M295X,2014,125,0,5150,832
172,GeForce GTX 760 Ti,2014,170,297.5,5119,802
173,FirePro S9000,2015,-1,0,5059,561
174,Radeon R9 M395,2015,125,0,4954,725
175,EIZO Quadro MED-XN51LP,2018,-1,0,4947,835
176,Barco MXRT 7600,2018,-1,0,4944,442
177,Radeon Sky 500,2019,-1,0,4889,639
178,Radeon R9 M485X,2017,-1,0,4842,686
179,Radeon HD 7950 / R9 280,2012,200,109,4765,691
180,GRID P40-24Q,2018,-1,0,4728,653
181,Radeon R9 370,2016,150,0,4722,781
182,Radeon R9 270X,2013,180,149.9,4711,569
183,Radeon Pro Vega 16,2019,-1,0,4683,672
184,GeForce GTX 760,2013,170,160.3,4680,484
185,Radeon HD 7870,2012,175,147,4678,545
186,FirePro W8000,2013,189,1048.9,4674,713
187,B8DKMDAP,2018,-1,0,4557,534
188,Radeon Pro 465,2019,-1,0,4538,562
189,GeForce GTX 580,2012,244,145.3,4519,370
190,Radeon HD 7870 XT,2013,185,0,4470,661
191,GRID M60-1B,2016,-1,0,4457,483
192,GeForce GTX 1050 (Mobile),2019,-1,0,4456,293
193,P104-100,2020,-1,299.9,4450,114
194,Citrix Indirect Display Adapter,2018,-1,0,4447,700
195,GRID P6-4Q,2018,-1,0,4429,586
196,FirePro W7000,2012,150,146,4395,572
197,GeForce GTX 660 Ti,2012,150,486.6,4359,434
198,Radeon R9 M390X,2016,100,0,4357,704
199,Radeon R9 M395X,2015,125,0,4330,787
200,Barco MXRT 7500,2015,-1,0,4319,762
201,Radeon R7 370,2016,150,0,4291,516
202,GRID P40-2Q,2018,-1,0,4288,633
203,GRID T4-8Q,2020,-1,0,4284,89
204,GeForce GTX 680MX,2013,122,0,4271,730
205,Radeon R9 270 / R7 370,2013,150,164.4,4260,645
206,GRID M60-1Q,2017,-1,0,4251,211
207,GeForce GTX 775M,2013,-1,0,4222,808
208,Radeon R9 270,2018,-1,0,4213,653
209,Quadro K4200,2014,105,239.9,4212,478
210,FirePro S7000,2014,150,0,4166,615
211,GRID V100D-8Q,2019,-1,0,4156,518
212,GeForce GTX 1060 5GB,2018,-1,0,4141,571
213,Quadro P1000,2017,47,300.99,4129,537
214,Quadro 7000,2011,204,0,4107,380
215,FirePro W7000 Adapter,2013,-1,0,4106,600
216,Radeon RX 460,2016,75,274.1,4074,538
217,Radeon HD 7970M,2012,75,0,4036,612
218,GeForce GTX 965M,2015,60,0,4035,371
219,Quadro M2000,2016,75,298.9,4035,561
220,Radeon HD 7800-serie,2014,-1,0,4029,708
221,GeForce GTX 780M,2013,122,189.9,4008,423
222,GRID P6-2Q,2018,-1,0,4001,590
223,Quadro K5000,2012,122,384.9,3978,426
224,Quadro M2200,2017,55,249.9,3965,355
225,GeForce GTX 660,2012,140,124.9,3948,428
226,GRID M60-8Q,2017,-1,0,3884,618
227,Radeon HD 8970M,2014,100,139.9,3876,807
228,GeForce GTX 750 Ti,2014,60,155.3,3845,457
229,GeForce GTX 570,2012,219,298.6,3842,439
230,GRID P100-8Q,2020,-1,0,3841,481
231,GRID M60-4Q,2016,-1,0,3831,278
232,P106-100,2019,-1,0,3802,735
233,Quadro K2200M,2015,-1,124.9,3791,483
234,Radeon Pro WX 4100,2017,50,249.99,3786,591
235,Radeon HD 7850,2012,130,75,3763,520
236,GeForce GTX 480,2012,250,579,3736,418
237,Quadro P620,2018,40,150.93,3712,657
238,Radeon Pro 560X,2018,-1,0,3678,711
239,GeForce GTX 1050 with Max-Q Design,2018,-1,0,3662,273
240,Quadro M1200,2017,45,0,3617,358
241,Radeon RX 560,2017,80,109.99,3589,496
242,GeForce GTX 680M KY_Bullet Edition,2017,-1,0,3569,581
243,GRID M6-8Q,2017,-1,0,3568,556
244,Radeon R9 M470X,2016,75,0,3563,696
245,GeForce GTX 590,2011,365,184,3562,572
246,Quadro K2200,2014,68,123.1,3556,513
247,GeForce GTX 960M,2015,65,1169,3529,239
248,Radeon RX 560X,2018,75,0,3520,524
249,Tesla C2050,2010,-1,269.9,3515,493
250,FirePro M6100 FireGL V,2017,-1,0,3487,711
251,Radeon Pro 560,2017,-1,0,3475,724
252,Quadro M2000M,2015,55,279.9,3472,331
253,FirePro W7170M,2016,-1,0,3461,517
254,Radeon Pro 460,2017,-1,0,3453,679
255,Radeon RX Vega M GL,2018,-1,0,3451,583
256,Tesla C2050 / C2070,2013,238,0,3428,568
257,Radeon HD8970M,2014,-1,0,3369,663
258,Radeon E8870PCIe,2017,-1,0,3368,708
259,Tesla C2075,2012,-1,340.5,3364,537
260,GRID P40-2B,2018,-1,0,3354,633
261,GRID M10-1Q,2017,-1,0,3351,556
262,GRID K520,2013,-1,749.9,3344,204
263,GeForce GTX 750,2014,55,129.9,3321,418
264,GeForce GTX 680M,2012,100,135.9,3304,429
265,GeForce GTX 860M,2014,45,0,3301,236
266,GeForce GTX 870M,2014,110,0,3293,356
267,Tesla C2070,2011,247,0,3275,554
268,Tesla M10,2019,-1,3202.2,3248,541
269,GeForce 770M,2016,-1,176.9,3246,500
270,GRID M10-4Q,2018,-1,0,3224,486
271,Quadro P600,2017,40,241,3192,532
272,GRID K2,2013,-1,289.9,3176,413
273,RadeonT RX 5500M,2019,-1,0,3166,336
274,FirePro V7000,2013,-1,0,3162,668
275,Radeon Pro 555,2017,-1,0,3141,659
276,GeForce GTX 470,2012,215,522,3139,367
277,GeForce GTX 650 Ti BOOST,2013,134,0,3135,436
278,Quadro 6000,2010,204,3899.99,3128,515
279,Radeon Pro 455,2018,-1,449,3113,705
280,Radeon HD 7790,2013,85,180.3,3095,473
281,Radeon R9 M380,2015,-1,0,3051,686
282,Radeon R9 360,2015,85,519,3032,460
283,GeForce GTX 880M,2014,130,0,3031,404
284,GeForce MX350,2020,-1,0,3028,278
285,Radeon R7 260X,2013,115,132.2,3021,494
286,Radeon R9 260,2016,-1,0,3018,643
287,Radeon HD 8950,2014,225,0,2990,612
288,Radeon R7 360,2015,100,125,2989,448
289,Radeon Pro WX 4130,2017,50,0,2984,688
290,GeForce GTX 560 Ti,2012,170,81.6,2981,366
291,FirePro W5000,2012,75,169.8,2949,555
292,GeForce GTX 465,2012,200,263.2,2946,582
293,Radeon HD 6970,2012,250,59.9,2942,396
294,GRID K260Q,2015,-1,0,2941,644
295,Quadro K5100M,2014,100,285.9,2934,534
296,Radeon HD 6990,2011,375,159.9,2933,563
297,GeForce MX330,2020,-1,0,2922,258
298,Quadro M620,2017,30,0,2914,569
299,FirePro W4300,2016,50,239.9,2909,785
300,Radeon Pro WX 3100,2017,50,0,2897,547
301,Radeon R7 260,2014,95,89.9,2892,559
302,Quadro K1200,2015,45,190.8,2860,601
303,Radeon Pro V340 MxGPU,2018,-1,0,2853,118
304,Quadro M1000M,2015,40,85.9,2852,324
305,Radeon R9 M290X,2014,100,0,2832,382
306,FirePro 3D V9800,2011,225,2499,2812,556
307,GeForce GTX 560,2012,150,95.9,2756,375
308,FirePro V7900,2011,150,144,2749,651
309,Radeon HD 6950,2012,200,148.3,2746,357
310,FirePro V9800,2016,-1,0,2727,655
311,Radeon Pro 450,2017,-1,0,2723,619
312,Quadro K4100M,2013,100,198,2719,397
313,FirePro W5100,2014,75,279.1,2717,421
314,Barco MXRT 5500,2018,-1,0,2702,510
315,Quadro K4000,2012,80,175.9,2683,422
316,GeForce GTX 675MX,2013,100,0,2675,455
317,GeForce GTX 850M,2014,40,0,2666,215
318,GeForce GTX 770M,2013,75,138,2663,286
319,GRID M10-2Q,2020,-1,0,2654,75
320,FirePro R5000,2016,-1,109.9,2647,625
321,MONSTER GeForce GTX 675M,2013,-1,0,2637,686
322,GeForce GT 1030,2017,30,79.99,2617,436
323,GRID M10-8Q,2018,-1,0,2606,557
324,GeForce GTX 950M,2015,75,567,2603,223
325,Radeon Pro WX 3200,2019,65,189.9,2592,499
326,GeForce MX250,2019,-1,0,2586,258
327,Quadro K5000M,2012,100,389.2,2572,647
328,Radeon HD 6850 X2,2017,-1,0,2534,373
329,FireStream 9370,2012,225,0,2528,763
330,N18E-Q1,2018,-1,0,2525,547
331,GeForce GTX 650 Ti,2012,110,184.3,2502,405
332,GeForce GTX 460 v2,2011,160,199.9,2497,605
333,GeForce GTX 950A,2015,-1,0,2461,379
334,FirePro 3D V8800,2010,208,424.9,2438,632
335,Radeon R9 M470,2016,75,0,2435,593
336,FirePro M6100,2013,-1,0,2433,449
337,Radeon RX 550,2017,50,84.99,2426,445
338,GRID M10-2B,2019,-1,0,2417,340
339,GeForce GTX 960A,2015,-1,0,2411,631
340,Radeon RX Vega 11 PRD,2019,-1,0,2402,601
341,GeForce GTX 485M,2011,100,0,2401,580
342,Radeon HD 5970,2012,294,329.9,2395,396
343,Radeon HD 5870,2012,228,289,2368,346
344,GeForce MX150,2017,25,0,2365,226
345,GRID K280Q,2015,-1,0,2363,546
346,GRID M10-1B,2017,-1,0,2310,417
347,Quadro K3100M,2013,75,399.9,2287,282
348,GeForce GTX 580M,2011,100,248.6,2279,562
349,Quadro K620,2014,45,138.8,2274,467
350,Radeon HD 6970M,2011,75,215.9,2270,656
351,Radeon R7 250X,2015,95,260.7,2269,637
352,FirePro V8800,2020,-1,0,2267,375
353,GeForce GT 645,2012,-1,0,2251,721
354,GRID P100-1B,2018,-1,0,2223,544
355,GeForce GTX 460,2012,150,169.7,2215,360
356,GeForce GTX 745,2014,55,124,2211,470
357,GeForce GTX 560 SE,2012,150,89.9,2201,575
358,Quadro 5000,2010,152,2303.99,2188,406
359,RadeonT R7 450,2017,-1,0,2185,930
360,Firepro W5170M,2015,-1,0,2176,683
361,Intel Iris Pro 580,2016,-1,0,2174,419
362,Intel Iris Pro P580,2016,-1,0,2169,573
363,Radeon HD 6870,2012,151,150,2149,436
364,Radeon TM R9 A360,2016,-1,0,2148,800
365,Quadro K4000M,2012,100,599.9,2146,442
366,Radeon Pro WX 7130,2020,130,0,2146,911
367,GRID K240Q,2014,-1,0,2144,641
368,GeForce 945M,2015,-1,0,2130,419
369,GeForce GTX 675M,2012,100,0,2120,517
370,Radeon RX Vega 11,2018,-1,0,2112,537
371,Radeon HD 5850,2012,151,79.9,2109,368
372,FirePro M5100,2014,-1,0,2103,800
373,Radeon R9 350,2016,60,103.8,2101,520
374,FirePro V7800,2018,-1,0,2091,426
375,GRID M6-1Q,2019,-1,0,2069,423
376,Quadro 5000M,2010,100,0,2060,426
377,GeForce GTX 480M,2010,100,0,2051,536
378,GeForce GTX 555,2012,150,0,2043,577
379,Radeon HD 7770,2012,80,145.3,2038,402
380,Quadro P520,2019,-1,1499,2031,282
381,GeForce GTX 460 SE,2012,150,159.9,2026,339
382,GeForce GTX 570M,2011,75,0,2024,539
383,GeForce MX230,2019,-1,0,2010,239
384,Radeon HD 6850,2012,127,165.3,2008,358
385,Radeon R9 M360,2016,-1,0,2007,577
386,Embedded Radeon E9173,2018,-1,0,1996,527
387,GeForce GTX 645,2013,64,0,1994,410
388,Radeon R7 + R7 350 Dual,2016,-1,0,1982,552
389,Radeon Pro WX 4150,2017,50,0,1980,445
390,Radeon R7 + HD 7700 Dual,2014,-1,0,1962,498
391,Radeon HD 7660D + HD 7700 Dual,2015,-1,0,1958,495
392,Matrox C680 PCIe x16,2014,-1,0,1956,880
393,GeForce GTX 670M,2012,75,0,1953,616
394,GeForce GTX 470M,2010,50,0,1950,523
395,GeForce GTX 765M,2013,65,0,1949,291
396,Quadro M600M,2015,30,102.9,1932,622
397,GeForce MX130,2018,-1,0,1930,200
398,Radeon RX 570X,2020,120,0,1923,750
399,Radeon HD 7560D + 7700 Dual,2014,-1,0,1919,518
400,Intel Iris Plus 645,2019,-1,0,1911,496
401,Radeon RX 540,2017,-1,0,1911,446
402,Radeon HD 7700-serie,2012,-1,0,1899,533
403,Radeon HD 8670D + HD 7700 Dual,2017,-1,0,1892,446
404,Radeon Vega 11,2019,-1,0,1879,515
405,FirePro 3D V7800,2010,138,599.9,1867,562
406,Radeon R7 450,2016,65,52.4,1861,464
407,GeForce 945A,2019,-1,0,1852,716
408,Intel Iris Plus,2019,-1,0,1846,309
409,FirePro M5100 FireGL V,2015,-1,0,1839,867
410,GRID M60-0B,2017,-1,0,1838,596
411,Radeon HD 6790,2011,150,64.9,1838,278
412,GeForce GT 755M,2013,50,0,1837,314
413,Radeon HD 8570D + HD 7700 Dual,2014,-1,0,1835,466
414,Quadro 5010M,2011,100,235.9,1833,568
415,MxGPU,2017,-1,0,1826,479
416,Intel Iris Plus 655,2018,-1,0,1821,381
417,FirePro M6000,2012,-1,0,1820,776
418,Radeon Pro W5500M,2020,85,0,1813,777
419,Matrox C900 PCIe x16,2016,-1,0,1812,761
420,RadeonT RX 560X,2019,-1,0,1810,676
421,Radeon HD 8870M / R9 M270X / M370X,2014,-1,0,1800,679
422,Intel Iris 650,2017,-1,0,1795,764
423,Radeon HD 5830,2012,175,159.9,1792,298
424,Radeon R7 FX-9830P RADEON,2016,-1,0,1790,419
425,Radeon HD 8670D + 7700 Dual,2013,-1,0,1789,572
426,Radeon Vega 9,2019,-1,0,1767,419
427,Radeon HD 6900M,2012,-1,0,1762,425
428,Radeon RX Vega11,2019,-1,0,1760,434
429,Radeon R7 M465X,2018,-1,0,1757,593
430,Radeon RX Vega 8,2018,-1,0,1745,496
431,FirePro M6000 Mobility Pro,2013,-1,0,1734,627
432,Intel Iris Plus 650,2017,-1,0,1731,427
433,Intel HD P630,2017,-1,0,1727,722
434,FirePro W600,2013,75,400.9,1725,603
435,Quadro P500,2018,-1,0,1724,635
436,FirePro M4000,2012,-1,0,1720,368
437,GeForce GTX 650,2012,64,89.3,1720,335
438,GeForce GTX 670MX,2012,75,0,1715,312
439,Radeon R9 M375X,2016,-1,0,1693,462
440,FirePro M4000 Mobility Pro,2015,-1,0,1688,511
441,Radeon HD 7750,2012,55,144.99,1687,377
442,Quadro K3000M,2012,75,155,1685,372
443,FirePro W5130M,2016,-1,0,1674,651
444,Radeon RX 550X,2019,50,0,1674,444
445,Quadro P400,2017,30,113.59,1664,465
446,Quadro K2000D,2013,51,417.3,1657,535
447,Radeon HD HD7850M,2015,-1,0,1652,686
448,Radeon HD 8870M,2014,-1,0,1638,629
449,Quadro M520,2017,25,0,1632,557
450,Ryzen 7 2700U with Radeon Vega,2018,-1,0,1617,442
451,Radeon 550X,2019,-1,0,1614,353
452,Intel UHD P630,2018,-1,0,1609,338
453,Seria Radeon HD 7700,2015,-1,0,1604,201
454,GeForce GTX 550 Ti,2012,116,131.2,1599,313
455,Radeon E8860,2015,-1,0,1577,679
456,GeForce GTX 660M,2012,50,78.9,1568,294
457,Quadro K2000,2013,51,120,1565,375
458,Radeon Pro WX 2100,2017,35,0,1558,384
459,Radeon HD 7560D + HD 6670 Dual,2014,-1,0,1555,652
460,Radeon R9 M385X,2019,75,0,1546,317
461,Intel Iris Pro Graphics 6200,2015,-1,0,1545,846
462,Radeon HD 8470D + HD 7500 Dual,2018,-1,0,1545,465
463,GeForce GTX 760M,2013,55,0,1542,277
464,GeForce 940MX,2016,-1,0,1541,173
465,FirePro V8700,2015,-1,0,1539,527
466,Radeon HD 4890,2012,190,109.9,1535,247
467,Radeon Vega 8,2018,-1,126.8,1533,422
468,Radeon Vega 10,2019,-1,0,1532,390
469,Quadro 4000,2010,142,960.7,1528,370
470,Radeon RX Vega 10,2019,-1,0,1523,390
471,Radeon HD 7870M,2012,45,0,1507,556
472,Ryzen 5 2500U with Radeon Vega,2018,-1,0,1503,388
473,Intel UHD 630,2017,-1,0,1498,296
474,GeForce MX110,2017,-1,0,1496,214
475,Radeon Vega 10 Mobile,2017,-1,0,1495,324
476,Radeon HD 6670 + 7660D Dual,2015,-1,0,1492,483
477,Radeon HD 7660D + HD 6670 Dual,2014,-1,0,1485,515
478,Radeon R9 M365X,2017,50,0,1482,446
479,Radeon HD 7730,2015,47,49.9,1469,451
480,GeForce GTX 275,2012,219,119.9,1462,499
481,Radeon Vega 8 Mobile,2017,-1,0,1457,375
482,GeForce GTX 285,2009,204,179.9,1450,448
483,FirePro W4100,2014,50,149.8,1448,444
484,Radeon R7 M380,2017,-1,0,1447,654
485,Radeon R9 M270X,2015,-1,0,1445,485
486,Radeon 540,2017,-1,0,1443,299
487,Radeon R9 M370X,2015,50,0,1441,364
488,Intel Iris Plus 640,2017,-1,0,1439,383
489,GeForce GT 740,2014,64,154.3,1438,287
490,Radeon HD 8470D + HD 6670 Dual,2017,-1,0,1436,512
491,FirePro V5800,2016,-1,54.9,1433,482
492,Radeon 540X,2019,-1,0,1433,349
493,Radeon HD 7560D + 7670 Dual,2012,-1,0,1426,445
494,Radeon R7 M370,2016,-1,0,1418,676
495,Radeon Pro WX 4170,2019,50,0,1409,427
496,Intel Iris 550,2016,-1,0,1400,339
497,Quadro K2100M,2013,55,550,1398,287
498,Radeon HD 7560D + HD 7670 Dual,2014,-1,0,1380,463
499,Radeon R7 PRO A12-8870,2017,-1,0,1376,541
500,Radeon HD 7850M,2012,40,0,1373,566
501,Intel Iris Pro P6300,2016,-1,0,1368,559
502,Radeon R5 A10-9630P 4C+6G,2017,-1,0,1366,354
503,FirePro M40003,2012,-1,0,1364,652
504,Radeon HD 8670D + 6670 Dual,2013,-1,0,1361,568
505,Radeon HD 5770,2012,108,369.2,1355,293
506,Radeon HD 7560D + HD 7700 Dual,2015,-1,0,1347,497
507,GeForce 930MX,2016,17,0,1346,198
508,FireStream 9270,2014,160,0,1341,473
509,Radeon R7 PRO A12-9800,2017,-1,0,1340,562
510,GeForce GT 545,2012,-1,55.5,1339,511
511,Quadro 4000M,2011,100,91,1337,405
512,GeForce 845M,2015,-1,0,1334,289
513,GeForce GT 750M,2013,50,0,1326,250
514,FirePro V5900,2011,75,319.9,1325,494
515,Radeon HD 8670D + HD 7600 Dual,2017,-1,0,1318,472
516,FirePro M5950,2011,-1,0,1314,574
517,FirePro V4900,2012,75,144.9,1310,688
518,Radeon R7 PRO A8-8670E,2017,-1,0,1310,442
519,Radeon HD 4870 X2,2012,286,0,1309,565
520,GeForce GTX 560M,2011,75,0,1306,273
521,Radeon HD 8790M,2014,-1,0,1306,751
522,Radeon R7 M465,2017,-1,0,1306,780
523,Tesla M2070-Q,2014,-1,0,1306,444
