Videocard_Name,Price1,G3D_Mark,Videocard_Value2,G2D_Mark,TDP,Power_Perf,Test_Date5,Category 
Radeon R7 M445,$744.00*,957,1.29,269,NA,NA,17-Jan,Unknown
Radeon R6 Opteron X3418,NA,955,NA,399,NA,NA,19-Apr,Unknown
Radeon R7 A265,NA,955,NA,737,NA,NA,15-Jun,Unknown
Radeon Vega 3 Mobile,NA,954,NA,406,NA,NA,17-Dec,Unknown
Radeon HD 8670D + R7 200 Dual,NA,950,NA,506,NA,NA,14-Dec,Unknown
Radeon R7 PRO A10-8770,NA,950,NA,355,NA,NA,17-Jan,Unknown
Radeon HD 8570 + HD 7660D Dual,NA,949,NA,467,NA,NA,13-Nov,Unknown
Quadro 2000,$99.99*,948,9.48,278,62,15.29,10-Oct,Workstation
Quadro CX,$149.95*,947,6.32,454,NA,NA,9-Oct,Unknown
Radeon HD 4770,NA,947,NA,357,80,11.83,11-Nov,Desktop
Radeon HD 6670/7670,NA,946,NA,320,NA,NA,16-Dec,Unknown
Radeon HD 7640G + 7690M Dual,NA,946,NA,325,NA,NA,13-Dec,Unknown
Radeon R7 PRO A10-8850B,NA,945,NA,552,NA,NA,16-Jun,Unknown
GeForce GT 645M,NA,943,NA,271,32,29.47,13-Jan,Mobile
Radeon HD 7660D + R7 240 Dual,NA,942,NA,453,NA,NA,15-Mar,Unknown
Radeon HD 6750M,NA,937,NA,487,NA,NA,11-Feb,Mobile
Radeon HD 7560D + HD 8570 Dual,NA,936,NA,425,NA,NA,14-Apr,Unknown
Quadro FX 4800,$138.98*,933,6.71,300,150,6.22,12-Aug,Workstation
GeForce GT 745M,NA,932,NA,191,45,20.72,13-Jun,Mobile
Radeon HD 7660G + 7730M Dual,NA,931,NA,392,NA,NA,14-Jan,Unknown
Radeon R7 340,NA,931,NA,357,NA,NA,16-Jul,Unknown
Intel Iris 6100,NA,930,NA,362,NA,NA,15-Mar,Unknown
Radeon R7 240 + HD 8670D Dual,NA,930,NA,471,NA,NA,14-Feb,Unknown
Quadro M500M,NA,929,NA,240,30,30.98,16-Mar,"Mobile, Workstation"
Radeon 530,NA,928,NA,197,NA,NA,17-Dec,Unknown
Radeon. HD 7730M,NA,928,NA,678,NA,NA,17-Oct,Unknown
Intel HD Graphics 620,NA,927,NA,219,NA,NA,16-Oct,Unknown
Radeon Vega 3,$479.99*,927,1.93,312,NA,NA,18-Apr,Unknown
Intel HD P530,NA,926,NA,283,NA,NA,15-Dec,Unknown
Intel Iris Pro 6100,NA,925,NA,548,NA,NA,15-Mar,Unknown
GeForce 920A,NA,919,NA,528,NA,NA,16-Aug,Unknown
Radeon 620,NA,919,NA,249,NA,NA,20-May,Unknown
Radeon R7 240 + HD 8570D Dual,NA,918,NA,352,NA,NA,14-Sep,Unknown
GRID M10-0Q,NA,914,NA,613,NA,NA,17-Aug,Unknown
Radeon R7 A8-8650,NA,913,NA,499,NA,NA,16-Jan,Unknown
GRID K220Q,NA,912,NA,539,NA,NA,15-Feb,Workstation
GRID M6-0B,NA,912,NA,764,NA,NA,16-Jun,Workstation
Radeon 6750M,NA,911,NA,570,NA,NA,17-Sep,Unknown
Radeon R7 M440,NA,908,NA,225,NA,NA,16-Aug,Unknown
Radeon R7 M365X,NA,902,NA,531,NA,NA,16-Dec,Unknown
Barco MXRT 7400,NA,901,NA,682,NA,NA,13-Apr,Unknown
Radeon HD 8550G + 7600M Dual,NA,901,NA,395,NA,NA,16-May,Unknown
Barco MXRT 2600,NA,900,NA,649,NA,NA,18-Jan,Unknown
Radeon R7 + R5 Dual,NA,898,NA,496,NA,NA,17-Apr,Unknown
Radeon R5 PRO A6-9500 2C+6G,NA,896,NA,417,NA,NA,17-Jan,Unknown
FirePro W2100,$113.99*,895,7.85,388,26,34.43,14-Sep,Workstation
Radeon R7 A8-7680,NA,895,NA,307,NA,NA,19-Mar,Unknown
7900 MOD - Radeon HD 6550D,NA,893,NA,536,NA,NA,13-Jan,Unknown
Intel UHD 620,NA,889,NA,662,NA,NA,20-Feb,Unknown
GeForce GT 730M,NA,887,NA,205,33,26.88,13-Feb,Mobile
Radeon R7 + R5 435 Dual A10-9700 RADEON,NA,886,NA,480,NA,NA,17-Mar,Unknown
Radeon HD 8650G + 7670M Dual,NA,884,NA,379,NA,NA,13-Aug,Unknown
Radeon R7 PRO A12-8830B,NA,883,NA,341,NA,NA,17-Sep,Unknown
FirePro 3D V4800,$159.99*,882,5.51,356,69,12.78,10-Aug,Workstation
Radeon HD 7660G + HD 7730M Dual,NA,882,NA,329,NA,NA,16-Feb,Unknown
Radeon R7 PRO A10-8770E,NA,881,NA,327,NA,NA,17-Jan,Unknown
Radeon HD 4850,$42.62*,877,20.57,231,110,7.97,12-Aug,Desktop
Radeon R7 A8-7670K,NA,877,NA,501,NA,NA,15-Sep,Unknown
LMIMIRR,NA,875,NA,515,NA,NA,18-Apr,Unknown
Radeon R7 G,NA,870,NA,532,NA,NA,15-Sep,Unknown
Radeon HD 8570D + HD 6570 Dual,NA,868,NA,506,NA,NA,14-Oct,Unknown
Mobility Radeon HD 4850,NA,866,NA,472,NA,NA,9-Jul,Mobile
Intel HD 6000,NA,865,NA,325,NA,NA,15-Jan,Unknown
Radeon HD 4830,$59.99*,864,14.41,206,95,9.1,12-Aug,Desktop
Radeon HD 8470D + HD 6450 Dual,NA,863,NA,590,NA,NA,14-Sep,Unknown
Radeon 535DX,NA,862,NA,209,NA,NA,19-Apr,Unknown
Radeon R7 A12-9730P RADEON,NA,862,NA,381,NA,NA,17-Jul,Unknown
Intel HD 520,NA,858,NA,205,NA,NA,15-Jul,Unknown
Intel UHD 617,NA,858,NA,341,NA,NA,19-Feb,Unknown
Radeon R7 A10-7890K,NA,857,NA,293,NA,NA,16-Apr,Unknown
Radeon 520,NA,856,NA,233,NA,NA,17-Aug,Unknown
Radeon R5 A6-7480,NA,856,NA,368,NA,NA,19-Apr,Unknown
Radeon HD 8550G + HD 7600M Dual,NA,855,NA,350,NA,NA,15-Jul,Unknown
GeForce GT 640M,NA,854,NA,172,32,26.67,12-Oct,Mobile
Radeon HD 8500M/8700M,NA,853,NA,503,NA,NA,15-Feb,Unknown
Radeon R7 A8-7500 4C+6G,NA,853,NA,390,NA,NA,17-Apr,Unknown
Radeon R5 M435,NA,850,NA,235,NA,NA,18-Jul,Unknown
Radeon R7 FX-9800P RADEON,$530.00*,848,1.6,341,NA,NA,16-Dec,Unknown
Radeon HD 8750M,NA,841,NA,212,NA,NA,14-Jul,Mobile
FireGL V8600,NA,839,NA,406,NA,NA,10-Apr,Workstation
GeForce GT 730,$89.99 ,838,9.31,227,49,17.1,14-Jul,Desktop
Radeon HD 8470D + 6570 Dual,NA,838,NA,454,NA,NA,14-Mar,Unknown
Radeon HD 8670D + R5 235 Dual,NA,837,NA,518,NA,NA,14-Oct,Unknown
Radeon HD 6650A,NA,836,NA,418,NA,NA,12-Jan,Unknown
Radeon HD 6800M,NA,836,NA,362,NA,NA,12-Feb,Unknown
Radeon HD 7560D + 6570 Dual,NA,833,NA,476,NA,NA,12-Oct,Unknown
Radeon HD 7520G + HD 7500/7600 Dual,NA,832,NA,355,NA,NA,16-Jan,Unknown
Radeon HD 7660G + 7600M Dual,NA,832,NA,341,NA,NA,12-Oct,Unknown
Radeon HD 8650G + 8600/8700M Dual,NA,832,NA,374,NA,NA,13-Jul,Unknown
GeForce GT 635,$66.94*,831,12.42,514,NA,NA,13-Oct,Unknown
Intel HD 5200,NA,830,NA,653,NA,NA,13-Apr,Unknown
Radeon R7 PRO A12-9800B,NA,829,NA,344,NA,NA,17-Jan,Unknown
3DP Edition,NA,827,NA,931,NA,NA,18-Nov,Unknown
GRID M60-0Q,NA,827,NA,516,NA,NA,18-Apr,Unknown
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,NA,824,NA,262,NA,NA,13-Oct,Unknown
Radeon R5 PRO A10-8730B 4C+6G,NA,823,NA,310,NA,NA,17-Jan,Unknown
Radeon HD 3850 X2,NA,822,NA,422,349,2.36,9-Sep,Desktop
Radeon HD 7540D + 7500 Dual,NA,822,NA,471,NA,NA,14-Dec,Unknown
Radeon HD 8650G + HD 7600M Dual,NA,820,NA,346,NA,NA,15-Mar,Unknown
Radeon HD 8550G + HD 8750M Dual,NA,819,NA,336,NA,NA,14-Dec,Unknown
Quadro 2000M,$46.56*,816,17.53,262,55,14.84,12-Aug,Workstation
Radeon HD 8730M,NA,814,NA,209,NA,NA,15-Jan,Mobile
Radeon R7 240,$69.99*,813,11.62,227,30,27.11,13-Oct,Desktop
Radeon R7 A12-9720P RADEON,$365.48*,813,2.22,207,NA,NA,17-Jul,Unknown
Radeon R7 M265,NA,813,NA,549,NA,NA,14-Nov,Mobile
Radeon HD 8670D + 7000 Dual,NA,812,NA,488,NA,NA,17-Nov,Unknown
GRID K1,$395.00*,811,2.05,463,NA,NA,13-Aug,Workstation
Radeon HD 8550G + 8600/8700M Dual,NA,803,NA,336,NA,NA,13-Aug,Unknown
GeForce 730A,NA,802,NA,396,NA,NA,15-Sep,Unknown
Radeon HD 8650G + HD 8790M Dual,NA,800,NA,404,NA,NA,14-Nov,Unknown
GeForce GT 440,$69.99*,799,11.41,252,65,12.29,10-Dec,Desktop
GeForce 9800 GX2,NA,798,NA,518,197,4.05,9-Apr,Desktop
Radeon R7 M260DX,NA,797,NA,245,NA,NA,19-May,Unknown
Radeon HD 8550G + 8750M Dual,NA,796,NA,321,NA,NA,13-Aug,Unknown
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,NA,796,NA,322,NA,NA,13-Dec,Unknown
Radeon R8 M445DX,NA,795,NA,193,NA,NA,19-Apr,Unknown
Radeon HD 7650A,$262.00*,793,3.03,707,NA,NA,12-Aug,Unknown
Radeon R7 A10 Extreme Edition,NA,790,NA,352,NA,NA,16-Dec,Unknown
Radeon HD 8650G + 8750M Dual,NA,787,NA,381,NA,NA,13-Jul,Unknown
Radeon HD 5670,$47.84*,784,16.38,294,64,12.24,12-Aug,Desktop
GRID K180Q,NA,783,NA,445,NA,NA,15-Apr,Workstation
Radeon R7 A365,NA,781,NA,763,NA,NA,16-Feb,Unknown
Radeon R7 PRO A6-9500 2C+6G,NA,781,NA,439,NA,NA,19-Apr,Unknown
Radeon HD 8650G + HD 8750M Dual,NA,779,NA,345,NA,NA,14-May,Unknown
Radeon R5 A10-9620P 4C+6G,NA,779,NA,207,NA,NA,17-Aug,Unknown
GRID P40-4Q,NA,778,NA,621,NA,NA,19-Apr,Unknown
Radeon HD 7640G + 7500M/7600M Dual,NA,776,NA,317,NA,NA,12-Oct,Unknown
Radeon R5 A6-8500P,NA,776,NA,346,NA,NA,18-Sep,Unknown
Radeon R7 M270,NA,776,NA,328,NA,NA,15-Jan,Unknown
NVS 510,$335.78 ,775,2.31,369,35,22.14,12-Oct,Workstation
GeForce GT 340,$52.99*,774,14.62,469,69,11.22,11-Jan,Desktop
Mobility Radeon HD 5000,NA,773,NA,429,NA,NA,12-Sep,Unknown
Radeon HD 7600M + 7600M Dual,NA,773,NA,317,NA,NA,12-Oct,Unknown
Radeon HD 8650G N HD 8650G + HD 8570M Dual,NA,773,NA,368,NA,NA,14-Aug,Unknown
GeForce 825M,NA,769,NA,551,33,23.29,14-Oct,Mobile
GeForce 9800 GTX,NA,769,NA,366,140,5.49,9-Apr,Desktop
Radeon HD 4810,NA,769,NA,425,95,8.1,14-Mar,Desktop
Radeon HD 7660G + HD 7600M Dual,NA,769,NA,328,NA,NA,14-Apr,Unknown
GeForce GT 740M,NA,766,NA,141,NA,NA,13-May,Mobile
Intel UHD 615,NA,766,NA,216,NA,NA,18-Oct,Unknown
Intel HD 615,NA,764,NA,193,NA,NA,16-Oct,Unknown
Quadro FX 3800,$98.99*,764,7.72,224,108,7.07,9-Apr,Workstation
Radeon HD 6650M,NA,764,NA,263,NA,NA,11-Jan,Mobile
Radeon HD 8650G + HD 8600/8700M Dual,NA,764,NA,356,NA,NA,14-Mar,Unknown
Mobility Radeon HD 5850,NA,763,NA,403,31,24.62,10-Jan,Mobile
Radeon HD 6450 + 8470D Dual,NA,763,NA,486,NA,NA,17-Apr,Unknown
Radeon HD 7660G + HD 7500/7600 Dual,NA,760,NA,369,NA,NA,16-Sep,Unknown
FirePro V3900,$129.99*,759,5.84,320,50,15.18,12-Mar,Workstation
Radeon R7 FX-8800P,NA,759,NA,206,NA,NA,16-Dec,Unknown
Radeon HD 7660G + HD 8500M Dual,NA,758,NA,355,NA,NA,14-Sep,Unknown
Radeon HD 8650G + HD 8600M N HD 8600M Dual,NA,758,NA,413,NA,NA,13-Dec,Unknown
Radeon R7 PRO A10-9700B,NA,758,NA,259,NA,NA,18-Jan,Unknown
Radeon HD 7660G + 7700M Dual,NA,757,NA,311,NA,NA,13-Aug,Unknown
Quadro K1000M,$69.95*,756,10.8,282,45,16.79,12-Aug,Workstation
Radeon R7 A10 PRO-7800B,NA,756,NA,442,NA,NA,14-Oct,Unknown
Quadro 1100M,NA,755,NA,734,NA,NA,13-Feb,Unknown
Radeon HD 7640G + 7450M Dual,NA,754,NA,353,NA,NA,14-Jul,Unknown
Radeon HD 8570D + HD 7000 Dual,NA,753,NA,465,NA,NA,15-Jun,Unknown
Radeon HD 7660G + HD 7700M Dual,NA,752,NA,327,NA,NA,14-Oct,Unknown
Quadro K600,$34.99*,751,21.46,271,41,18.32,13-Mar,Workstation
IncrediblE HD 4600,NA,750,NA,735,NA,NA,18-Nov,Unknown
Radeon M535DX,NA,750,NA,288,NA,NA,19-Jul,Unknown
Radeon R7 A8-7600,NA,750,NA,203,NA,NA,14-Oct,Unknown
GeForce GT 140,NA,748,NA,434,105,7.12,9-May,Desktop
Radeon HD 7640G + 7650M Dual,NA,747,NA,188,NA,NA,14-Jan,Unknown
Radeon HD 7660G + HD 8600/8700M Dual,NA,747,NA,365,NA,NA,16-Jun,Unknown
GeForce 9800 GTX+,NA,746,NA,344,141,5.29,12-Aug,Desktop
Radeon HD 7660G + 7610M Dual,NA,746,NA,323,NA,NA,12-Dec,Unknown
Radeon HD 8670D + R5 330 Dual,NA,746,NA,494,NA,NA,17-Mar,Unknown
Radeon R5 235 + HD 7560D Dual,NA,744,NA,441,NA,NA,14-May,Unknown
GeForce GT 730A,NA,743,NA,714,NA,NA,14-Jun,Unknown
Radeon HD 7660G + 7670M Dual,NA,743,NA,347,NA,NA,12-Jun,Unknown
Radeon R7 A10-7860K,NA,743,NA,200,NA,NA,16-Mar,Unknown
Quadro K420,$188.32*,742,3.94,258,41,18.11,14-Oct,Workstation
Radeon HD 8650G + 7600M Dual,NA,742,NA,404,NA,NA,13-Nov,Unknown
Radeon R8 M365DX,NA,741,NA,336,NA,NA,19-Jun,Unknown
GRID K160Q,NA,740,NA,466,NA,NA,16-Mar,Workstation
Intel Poison Ivy,NA,739,NA,783,NA,NA,19-Mar,Unknown
Radeon R8 M535DX,NA,739,NA,233,NA,NA,19-Apr,Unknown
Radeon HD 7670M + 7670M Dual,NA,738,NA,294,NA,NA,12-Nov,Unknown
Radeon R5 235 + HD 8570D Dual,NA,738,NA,486,NA,NA,15-Jul,Unknown
GeForce GTX 285M,NA,735,NA,474,75,9.8,10-Feb,Mobile
Intel Iris 5100,NA,731,NA,272,NA,NA,13-Oct,Unknown
Radeon HD 7550M/7650M,NA,729,NA,524,13,56.04,12-Jul,Mobile
GRID K140Q,NA,728,NA,457,NA,NA,14-Jul,Workstation
GeForce 720A,NA,725,NA,690,NA,NA,18-Aug,Unknown
Quadro FX 3800M,NA,725,NA,350,100,7.25,9-Oct,Workstation
Radeon R7 A12-9700P RADEON,$435.92*,725,1.66,181,NA,NA,16-Dec,Unknown
Intel UHD 610,NA,724,NA,188,NA,NA,18-Mar,Unknown
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,NA,723,NA,292,NA,NA,13-Nov,Unknown
Radeon HD 8650G + R5 M200 Dual,NA,723,NA,323,NA,NA,15-Jul,Unknown
Radeon R5 PRO A6-9500E 2C+4G,NA,722,NA,308,NA,NA,17-Jan,Unknown
Radeon R5 PRO A8-9600B 4C+6G,NA,722,NA,294,NA,NA,17-Jan,Unknown
Asus GTX 650 FML II EC-EGPU,NA,721,NA,534,NA,NA,16-Dec,Unknown
Mobility Radeon HD 4870,NA,720,NA,416,NA,NA,10-Sep,Mobile
Radeon HD 7540D + 6570 Dual,NA,720,NA,469,NA,NA,13-Jul,Unknown
Radeon R7 A360,NA,720,NA,772,NA,NA,17-Mar,Unknown
Radeon HD 8670D + HD 7000 Dual,NA,719,NA,403,NA,NA,15-Mar,Unknown
Radeon HD 8470D + 6450 Dual,NA,717,NA,558,NA,NA,13-Sep,Unknown
GeForce 920M,NA,716,NA,119,NA,NA,15-Apr,Unknown
Radeon HD 8650G + HD 8570M Dual,NA,716,NA,317,NA,NA,14-Sep,Unknown
GeForce GTS 240,$64.99*,714,10.99,430,120,5.95,9-Sep,Desktop
Intel HD 5600,NA,712,NA,595,NA,NA,15-Mar,Unknown
Radeon HD 7660G + HD 8670M Dual,NA,711,NA,325,NA,NA,15-Dec,Unknown
Radeon HD 3870 X2,NA,709,NA,224,165,4.29,11-Nov,Desktop
Radeon HD 6550A,NA,708,NA,609,NA,NA,12-Jan,Unknown
Quadro K610M,$75.00*,707,9.43,269,30,23.58,14-Aug,Workstation
Radeon HD 7660G + HD 7670M Dual,NA,707,NA,317,NA,NA,14-Jan,Unknown
GeForce 820A,NA,706,NA,517,NA,NA,15-May,Unknown
Radeon HD 7640G + 7600M Dual,NA,706,NA,294,NA,NA,12-Jul,Unknown
Radeon R5 A6-9500 2C+6G,NA,706,NA,251,NA,NA,17-Oct,Unknown
GeForce GT 740A,NA,705,NA,801,NA,NA,15-Apr,Unknown
Radeon HD 7660G N HD 7660G + HD 7670M Dual,NA,705,NA,318,NA,NA,14-Jan,Unknown
Radeon HD 7640G + HD 7600M Dual,NA,704,NA,277,NA,NA,14-Oct,Unknown
Radeon R7 A10-7800,NA,702,NA,188,NA,NA,14-Nov,Unknown
Radeon HD 7570M/HD 7670M,NA,699,NA,555,25,27.96,15-Mar,Mobile
TRINITY DEVASTATOR MOBILE,NA,699,NA,335,NA,NA,16-Sep,Unknown
Radeon HD 7640G + HD 8570M Dual,NA,697,NA,292,NA,NA,14-Jun,Unknown
Radeon HD 7570,$51.41*,694,13.5,383,44,15.77,12-Aug,Desktop
Radeon R5 PRO A6-9500B 2C+4G,NA,693,NA,323,NA,NA,17-Mar,Unknown
Radeon HD 7640G + 7700M Dual,NA,691,NA,324,NA,NA,13-Nov,Unknown
Radeon R7 A8-9600 RADEON,NA,691,NA,201,NA,NA,17-Apr,Unknown
Radeon R5 PRO A6-8530B 2C+4G,NA,690,NA,354,NA,NA,17-Jan,Unknown
Radeon R7E,NA,690,NA,208,NA,NA,18-Sep,Unknown
Radeon HD 6670,$102.99*,689,6.69,225,66,10.43,12-Aug,Desktop
Radeon HD 7640G + 8600/8700M Dual,NA,689,NA,308,NA,NA,13-Oct,Unknown
Radeon HD 8650G + R5 M230 Dual,NA,686,NA,374,NA,NA,14-Jun,Unknown
Radeon HD 6630M,NA,685,NA,390,NA,NA,11-May,Mobile
Radeon HD 8550D,NA,685,NA,357,NA,NA,14-Mar,Unknown
GRID P40-3Q,NA,681,NA,603,NA,NA,19-Apr,Unknown
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",NA,681,NA,365,NA,NA,20-Jan,Unknown
Radeon HD 7640G N HD 7640G + HD 7670M Dual,NA,680,NA,305,NA,NA,13-Nov,Unknown
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,NA,680,NA,347,NA,NA,13-Dec,Unknown
GeForce GTS 160M,NA,679,NA,308,60,11.31,9-Jul,Mobile
Radeon HD 7640G + HD 8670M Dual,NA,677,NA,249,NA,NA,15-Aug,Unknown
GeForce GT 555M,NA,676,NA,116,30,22.53,11-Mar,Mobile
Quadro FX 4700 X2,NA,676,NA,509,NA,NA,14-Apr,Unknown
Radeon HD 8610G + R5 M200 Dual,NA,676,NA,291,NA,NA,16-Jun,Unknown
Intel HD P4600/P4700,NA,672,NA,420,NA,NA,13-Jul,Unknown
Intel HD 610,NA,670,NA,157,NA,NA,17-Jan,Unknown
Radeon HD 7730M,NA,670,NA,287,25,26.79,15-Mar,Mobile
GeForce GT 435M,NA,668,NA,400,35,19.08,12-Aug,Mobile
Radeon HD 8550G + R5 M230 Dual,NA,668,NA,315,NA,NA,14-Oct,Unknown
GeForce 9800 GTX/9800 GTX+,$89.99*,667,7.42,378,NA,NA,9-Jun,Unknown
GeForce GT 640M LE,$849.99*,666,0.78,178,32,20.8,12-Sep,Mobile
Radeon HD 7640G + HD 8500M N HD 8500M Dual,NA,666,NA,311,NA,NA,13-Nov,Unknown
Radeon R7 M340,NA,666,NA,165,NA,NA,16-Apr,Mobile
FirePro M7740,NA,665,NA,415,NA,NA,9-Dec,Workstation
Quadro 500M,$275.14*,664,2.41,588,35,18.97,13-May,Workstation
Radeon HD 8550G + 8690M Dual,NA,664,NA,260,NA,NA,13-Nov,Unknown
Radeon R7 A10-7700K,NA,663,NA,294,NA,NA,14-Nov,Unknown
FireGL V7700,$174.99*,660,3.77,422,NA,NA,11-Mar,Workstation
GeForce GT 720A,NA,660,NA,708,NA,NA,14-Oct,Unknown
Radeon HD 2900 XT,NA,660,NA,397,215,3.07,12-Apr,Desktop
Radeon R7 A8-7650K,NA,658,NA,227,NA,NA,15-Mar,Unknown
GeForce 8800 GTX,$199.99*,656,3.28,261,155,4.23,12-Aug,Desktop
GeForce GT 820M,NA,655,NA,209,NA,NA,16-Oct,Unknown
Intel HD 4600,NA,655,NA,304,45,14.55,13-Mar,Desktop
Radeon HD 7640G + 8750M Dual,NA,655,NA,305,NA,NA,13-Nov,Unknown
Radeon HD 8550G + HD 8600/8700M Dual,NA,655,NA,170,NA,NA,15-Aug,Unknown
Professional HD Driver,NA,654,NA,555,NA,NA,18-Oct,Unknown
Radeon HD 8650G + 8570M Dual,NA,654,NA,282,NA,NA,13-Nov,Unknown
NVS 5400M,NA,651,NA,202,35,18.59,12-Jul,Workstation
Quadro K510M,NA,651,NA,904,30,21.71,13-Dec,Workstation
Radeon HD 7520G + HD 8750M Dual,NA,651,NA,289,NA,NA,15-Jul,Unknown
SUMO 9640,NA,650,NA,398,NA,NA,11-Oct,Unknown
Radeon R5 M430,NA,649,NA,516,NA,NA,16-Aug,Unknown
FireStream 9170,NA,647,NA,493,NA,NA,15-Nov,Unknown
Radeon HD 6670 + 6670 Dual,NA,647,NA,552,NA,NA,13-Jan,Unknown
Radeon HD 8610G + HD 8500M Dual,NA,646,NA,274,NA,NA,14-Aug,Unknown
Radeon HD 7640G + 7670M Dual,NA,645,NA,294,NA,NA,12-Jun,Unknown
GeForce GT 530,$49.00*,644,13.15,304,50,12.89,11-Jun,Desktop
Radeon HD 7540D + HD 6450 Dual,NA,643,NA,444,NA,NA,14-Apr,Unknown
Intel HD 515,NA,641,NA,194,NA,NA,15-Oct,Unknown
GeForce 8800 Ultra,NA,639,NA,372,171,3.73,9-Apr,Desktop
Radeon R5 PRO A6-8570E 2C+4G,NA,638,NA,268,NA,NA,17-Jan,Unknown
Radeon HD 7640G + 7400M Dual,NA,637,NA,286,NA,NA,13-Mar,Unknown
Radeon HD 8450G + 8750M Dual,NA,637,NA,299,NA,NA,13-Oct,Unknown
GeForce 9800 S,NA,636,NA,427,NA,NA,12-Nov,Unknown
GeForce GT 630,$575.00*,635,1.11,177,50,12.71,12-Jun,Desktop
Matrox C420 LP PCIe x16,NA,635,NA,741,NA,NA,15-Apr,Unknown
Radeon HD 8650G + 8670M Dual,NA,635,NA,355,NA,NA,13-Aug,Unknown
Radeon R5 330,$339.99*,635,1.87,285,30,21.16,17-May,Desktop
Radeon HD 7660D + HD 7000 Dual,NA,634,NA,465,NA,NA,14-May,Unknown
Radeon HD 8650G + HD 7670M Dual,NA,634,NA,305,NA,NA,16-Sep,Unknown
Radeon HD 7610M,NA,632,NA,479,20,31.61,12-Jul,Mobile
Radeon HD 7640G + HD 7700M N HD 7700M Dual,NA,631,NA,272,NA,NA,15-May,Unknown
Radeon HD 7660G + 7470M Dual,NA,631,NA,351,NA,NA,12-Aug,Unknown
GeForce GTS 360M,NA,630,NA,179,38,16.58,10-Jan,Mobile
Radeon HD 8510G + HD 8500M Dual,NA,630,NA,191,NA,NA,15-May,Unknown
GeForce 8800 GTS 512,NA,628,NA,258,135,4.65,12-Aug,Desktop
Radeon HD 2900 PRO,NA,628,NA,397,200,3.14,11-Nov,Desktop
GeForce 810A,NA,627,NA,434,NA,NA,14-Dec,Unknown
Radeon HD 7640G + 7500/7600 Dual,NA,627,NA,293,NA,NA,13-Jul,Unknown
Radeon HD 8650G + 8500M Dual,NA,627,NA,351,NA,NA,13-Oct,Unknown
GeForce GT 550M,NA,626,NA,300,32,19.55,11-Mar,Mobile
Radeon HD 7520G + HD 8600/8700M Dual,NA,624,NA,291,NA,NA,14-Oct,Unknown
Radeon R6 PRO A10-8700B 4C+6G,NA,624,NA,171,NA,NA,16-Dec,Unknown
GeForce GTX 280M,NA,621,NA,440,75,8.28,9-May,Mobile
Mobility Radeon HD 5730,NA,621,NA,245,26,23.9,10-Jul,Mobile
Radeon HD 7640G + HD 7400M Dual,NA,621,NA,297,NA,NA,14-Oct,Unknown
Radeon HD 8570 + 8670D Dual,NA,620,NA,496,NA,NA,13-Nov,Unknown
Radeon R5 420,$39.95*,620,15.53,341,NA,NA,17-Oct,Unknown
GeForce GTS 250,$89.99*,619,6.88,269,150,4.13,12-Aug,Desktop
Radeon HD 8550G + R5 M200 Dual,NA,619,NA,276,NA,NA,15-Jul,Unknown
Radeon R7 PRO A8-8650B,NA,619,NA,214,NA,NA,15-Dec,Unknown
Radeon HD 8550G + 8600M Dual,NA,618,NA,321,NA,NA,13-Aug,Unknown
Radeon HD 7500G + 7500M/7600M Dual,NA,617,NA,308,NA,NA,13-Sep,Unknown
FireGL V7600,NA,616,NA,488,NA,NA,9-Sep,Workstation
Radeon HD 8670D,NA,616,NA,232,NA,NA,13-Jun,Unknown
Radeon R7 A8 PRO-7600B,NA,615,NA,177,NA,NA,14-Nov,Unknown
Quadro FX 5600,$168.98*,613,3.63,403,NA,NA,9-Apr,Unknown
Radeon HD 8650G + 8600M Dual,NA,613,NA,370,NA,NA,13-Oct,Unknown
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,NA,612,NA,116,NA,NA,15-May,Unknown
Radeon R5 A10-9600P 4C+6G,NA,611,NA,166,NA,NA,16-Dec,Unknown
7900 MOD - Radeon HD 6520G,NA,610,NA,323,NA,NA,12-Dec,Unknown
Radeon HD 8610G + 8500M Dual,NA,610,NA,298,NA,NA,13-Sep,Unknown
Radeon R7 PRO A12-8800B,NA,610,NA,242,NA,NA,16-Dec,Unknown
GeForce GT 735M,NA,608,NA,221,NA,NA,13-Jul,Mobile
Radeon HD 7640G + HD 8500M Dual,NA,607,NA,305,NA,NA,14-Jul,Unknown
Radeon HD 8650G + HD 8600M Dual,NA,606,NA,378,NA,NA,14-Sep,Unknown
GeForce GT 710,$35.99 ,605,16.82,197,25,24.21,14-Jul,Desktop
Intel HD P4600,NA,605,NA,963,NA,NA,13-Jul,Unknown
Intel HD 510,NA,604,NA,158,NA,NA,15-Oct,Unknown
Quadro 1000M,$54.50*,603,11.07,207,45,13.41,12-Aug,Workstation
Radeon HD 8550G + 8500M Dual,NA,603,NA,304,NA,NA,13-Sep,Unknown
Radeon 6600M,NA,602,NA,168,NA,NA,12-Aug,Unknown
Mobility Radeon HD 5570,NA,601,NA,310,NA,NA,11-Nov,Unknown
